44.232.170.135|104|2022-10-08T09:02:22.819638|"Amazon.com, Inc."|United States|AS16509|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb3\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
34.205.252.87|11112|2022-10-08T08:53:37.340372|Amazon Technologies Inc.|United States|AS14618|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\x88\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
3.98.65.22|11112|2022-10-08T08:47:45.023470|Amazon Data Services Canada|Canada|AS16509|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\x88\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
38.142.154.54|104|2022-10-08T08:40:55.566910|Cogent Communications|United States|AS174|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb3\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
45.248.64.76|11112|2022-10-08T08:36:32.909808|SNET NETWORKS PRIVATE LIMITED|India|AS136334|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb3\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
190.7.236.99|104|2022-10-08T08:34:01.591735|IPNEXT S.A.|Argentina|AS27881|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xaa\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
20.36.157.174|104|2022-10-08T08:26:36.662650|Microsoft Corporation|United States|AS8075|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb7\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
20.211.113.161|11112|2022-10-08T08:24:18.306490|Microsoft Corporation|Australia|AS8075|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\x88\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
54.238.233.84|11112|2022-10-08T08:24:03.931533|Amazon Data Services Japan|Japan|AS16509|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\x88\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
172.105.104.154|11112|2022-10-08T08:23:18.001682|Linode|Canada|AS63949|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\x88\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
207.244.252.171|4242|2022-10-08T08:22:01.023411|Contabo Inc.|United States|AS40021|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb8\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
148.102.127.164|104|2022-10-08T08:16:00.331174|AMERICATEL PERU S.A.|Peru|AS19180|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xac\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
94.16.15.34|11112|2022-10-08T08:15:33.187482|powered by ANX|Austria|AS42473|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\x88\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
177.93.35.134|104|2022-10-08T08:14:18.794953|TV AZTECA SUCURSAL COLOMBIA|Colombia|AS262186|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xad\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
91.134.117.148|104|2022-10-08T08:10:52.150702|MESCOFF FLORENT|France|AS16276|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb8\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
